Product,Page,Title,Rating,Date,Review
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","1","5.0 out of 5 stars







  
  
    Excellent widescreen monitor","5.0 out of 5 stars","Reviewed in India on 13 February 2024","Excellent monitor, improves productivity... Observations after a month:# Tip - best placed on wall stand to free up desk space...# 3340*1440 resolution is available only in 'extend display' mode for some reason when laptop is connected, any other mode (monitor only, duplicate display etc) it isnt available... i guess this is a display card issue on my laptop somehow.. may not be applicable to all but do check out once installed# Not a gamer so cant comment on performance, works great for normal productivity tasks# havent watched too many videos or movies (some youtiube primarily). but there is satisfactory performance - i use a wall mounted TV for media so this is not primarily used for media consuption - bt does well when anyting is played on Youtube etc.pretty satisfied on the whole.... i once again recommend a wall stand using the VESA mount.... especially if u have a narrow table"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","1","5.0 out of 5 stars







  
  
    MSI PRO MP341CQ 34-Inch முழு HD கணினி மானிட்டர்","5.0 out of 5 stars","Reviewed in India on 27 April 2024","IT IS GOOD, ONLY THE TREBLE IS IT  COMES WITHOUT VGA CONNECTIVITY OTHERWISE IT IS ENJOYABLE"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","1","4.0 out of 5 stars







  
  
    okay for the price","4.0 out of 5 stars","Reviewed in India on 28 September 2024","proscost for quality good, i for 22,500colors equal to ips panel tested side by sidecan connect a pc and PlayStation as it has 2 hdmi ports,you get 3 years warranty, which is worthconsi don't know which button i press in monitorlow speaker volumeno height adjustment"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","1","1.0 out of 5 stars







  
  
    Never buy this product","1.0 out of 5 stars","Reviewed in India on 21 November 2024","Picture quality not good and above all no replacement,"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","1","1.0 out of 5 stars







  
  
    Woest product","1.0 out of 5 stars","Reviewed in India on 28 August 2024","No sound output , Return / replacement window was not showing since it arrived , finally I lost my money , cant user it .please help me with return of my moneyService visit was not done physically , person asked for Otp without visiting my site physically { saying that OTP need to be informed before His vist } and collected Money Rs 1140/ for visit saying that return window was closed , hence need to pay service charges . ALL confusingPlease resolve Immediately"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","1","1.0 out of 5 stars







  
  
    Video quality is not good","1.0 out of 5 stars","Reviewed in India on 16 April 2024","It's not supporting hdr and refresh rate is 50 hrz onlyDidn't like it"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","1","CadeauGift","","Reviewed in Belgium on 26 December 2024","Fonctionne super bien sur le pc gamer MSI de mon filsWorks great on my son's MSI gaming PC"
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","1","Muy buena pintaVery good looking","","Reviewed in Spain on 28 September 2024","Recibido un día antes de lo esperado. El monitor ha llegado perfecto.El montaje es muy sencillo y la calidad de imagen es muy buena. Lo estoy usando para programar, y el tamaño me permite tener el entorno de desarrollo perfectamente colocado.Received one day earlier than expected. The monitor arrived perfect. The assembly is very simple and the image quality is very good. I'm using it for programming, and the size allows me to have the development environment perfectly placed."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","1","Gayet iyi ve hızlı geldiIt came very well and quickly","","Reviewed in Turkey on 27 November 2024","2 günde geldi gayet memnunum şuan bir sıkıntısını görmedim.It came in 2 days and I'm glad I didn't see any problems at the moment."
"MSI PRO MP341CQ 34-Inch 2K UWQHD 3440x1440 Computer Monitor - Professional Curved LED Monitor with 100Hz Refresh Rate, Anti-Glare & Anti-Flicker Technology PC Monitor for Desktop, VESA Mount (Black)","1","Belle ecranBeautiful screen","","Reviewed in France on 7 December 2024","Pour une utilisation bureautique, en remplacement de 2 écrans, c'est bien plus confortable, un plus grand espace de travail pour afficher presque l'équivalent de 3 écrans.34"" = plutôt du 24"" extra large (hauteur plus faible qu'un 27""), ce qui va très bien pour de la bureautique.Faire attention a la largeur, ca prend quand même de la place. La courbure de l'ecran est optimum pour moi (1500R).Définition qui va bien, 100hz qui ne fatigue pas les yeux, et calibration de base tres correct pour de la photo (et ca marche avec du macbook)For office use, replacing 2 screens, it's much more comfortable, a larger workspace to display almost the equivalent of 3 screens. 34"" = rather 24"" extra wide (lower height than a 27""), which is very good for office automation. Pay attention to the width, it still takes up space. The curvature of the screen is optimal for me (1500R). Definition that goes well, 100hz that does not tire your eyes, and very correct basic calibration for photography (and it works with a Macbook)"
